scully_lines,season,episode
SCULLY: It still doesn't explain what he was doing there that late at night.  ,1,2
"SCULLY: He was crawling up an air duct, by himself, without alerting security.  ",1,2
"SCULLY: Tom, I wanna thank you for letting me put in some time with the VCS, but I am officially assigned to the X-files.  ",1,2
"SCULLY: Tom, I can look out for myself.  ",1,2
"SCULLY: You knew they wouldn't believe you, why did you push it?  ",1,2
"SCULLY: It seems like you were acting very territorial, I don't know, forget it.  ",1,2
"SCULLY: Er, I don't know, you must have something more than your polygraph interpretation to backup this bizarre theory and I have to see what it is.  ",1,2
SCULLY: How could that be?  ,1,2
SCULLY: Tom. We have authorized access to this crime scene. A report of you obstructing another officer's investigation might stick out on your personnel file.  ,1,2
SCULLY: The victim's.  ,1,2
"SCULLY: The victim is a Thomas Werner, single, white..  ",1,2
"SCULLY: Baltimore PD checked out Tooms' apartment, it was a cover. No one has ever lived there and he hasn't shown up for work since he was arrested.  ",1,2
SCULLY: Apartment 2 0 3. He killed the guy above him.  ,1,2
"SCULLY: Well, this must be Tooms' great grandfather.  ",1,2
"SCULLY: Genetics might explain the patterns, it also might explain the sociopathic attitudes and behaviours. It begins with one family member, who raises an offspring, who raises the next child.  ",1,2
"SCULLY: Well, what do you think?  ",1,2
SCULLY: 2023.  ,1,2
"SCULLY: Nope, he disappeared off the face of the earth. You?  ",1,2
"SCULLY: At least in Baltimore County. No, I did find one thing though, erm, it's the current address of the investigating officer at the Powhatan Mill murders in 1933.  ",1,2
SCULLY: Sir?  ,1,2
SCULLY: Unofficially?  ,1,2
SCULLY: A piece of the removed liver?  ,1,2
SCULLY: Here's 103.  ,1,2
SCULLY: There's nothing here.  ,1,2
SCULLY: I don't know.  ,1,2
SCULLY: Frank said he collected trophies.  ,1,2
SCULLY: It looks like the wall's deteriorating.  ,1,2
"SCULLY: This looks like the opening, think there's anything inside?  ",1,2
SCULLY: No one could live in this.  ,1,2
SCULLY: Hibernates?  ,1,2
SCULLY: Mulder.  ,1,2
"SCULLY: In any case, he's not here now and he's gotta come back.  ",1,2
"SCULLY: Yeah, that'll take some fannagling.  ",1,2
"SCULLY: Oh, wait, I'm snagged on something, oh, it's ok, I got it.  ",1,2
SCULLY: I have to meet Mulder..  ,1,2
SCULLY: It isn't in any way interferring with your investigation.  ,1,2
SCULLY: You can't do that.  ,1,2
SCULLY: Is this what it takes to climb the ladder Colton?  ,1,2
SCULLY: Then I can't wait `til you fall off and land on your ass.  ,1,2
"SCULLY: Mulder, you must've gone out since Colton gave us the night off, I say we file a complaint against him, I am furious. Call me when you get in, ok, bye.  ",1,2
"SCULLY: You'll be interested to know that I've ordered some genetic tests. The preliminary medical exam revealed quite abnormal development in the muscular and  skeletal systems, as well as a continually declining metabolic rate. It dips way below the  levels registered in deep sleep. Did you hear what I said Mulder?  ",1,2
"SCULLY: Sioux City, Iowa. That's the first I've heard of it.  ",1,3
SCULLY: I don't understand.  ,1,3
SCULLY: He must have more evidence than..  ,1,3
"SCULLY: I admit, that is strange. Even for Mulder.  ",1,3
SCULLY: An X-File.  ,1,3
"SCULLY: She was his sister, she disappeared twenty-one years ago, he was, twelve and she was eight. He claims that he was in the room when it happened. He recalls a, bright light outside the window and er, and a presence in the room.  ",1,3
"SCULLY: In my opinion, no.  ",1,3
"SCULLY: With respect sir, at least let me talk with him, and make a recommendation.  ",1,3
"SCULLY: It just doesn't seem, substantial enough to warrant an investigation.  ",1,3
"SCULLY: Well, at least if we had a legitimate source, we could..  ",1,3
"SCULLY: But what makes this case anymore credible, than...(Scully lifts a copy of National Comet, from were the article attached to Mulder's 3-0-2 was taken, off Mulder's desk and reads another cover feature)...the hundred year old mother with the lizard baby?  ",1,3
SCULLY: Oko-what?  ,1,3
SCULLY: Is that supposed to mean something to me?  ,1,3
SCULLY: Define hotspot.  ,1,3
SCULLY: The pilot took that photograph?  ,1,3
"SCULLY: Lisa Tyrell, Bonnie Winston, Dorreen McAllister, Darlene Mor...  ",1,3
"SCULLY: Miss Darlene Morris? (Scully shows her id) I'm Agent Scully and this is Agent Fox Mulder, we talked with you on the phone last night.  ",1,3
SCULLY: Hmmm.  ,1,3
"SCULLY: Miss Morris, during the divorce, was there a custody battle?  ",1,3
SCULLY: How can you be so sure?  ,1,3
SCULLY: I just think it's a good idea not to antagonise local law enforcement.  ,1,3
"SCULLY: You never know, we might need his help one of these days.  ",1,3
SCULLY: That's right. Who are you?  ,1,3
SCULLY: Are you a friend of Ruby's?  ,1,3
SCULLY: And she liked to hang out with you?  ,1,3
SCULLY: Do you know what they were planning to do about it?  ,1,3
SCULLY: You know Greg from School?  ,1,3
SCULLY: This is the motel we'll be staying at if you hear of anything.  ,1,3
SCULLY: What?  ,1,3
"SCULLY: Mulder, they're NSA. (Mulder puts on his jacket) They think the boy may be a threat to national security.  ",1,3
"SCULLY: Well how did Kevin obtain top secret information? And, where do you think he got it from?  ",1,3
SCULLY: What is it?  ,1,3
SCULLY: And none of the information is actionable?  ,1,3
SCULLY: So it's just a random set of ones and zeroes.  ,1,3
SCULLY: I don't understand.  ,1,3
SCULLY: That's from the Brandenburg concertos.  ,1,3
SCULLY: This has been a terrible mistake. And I assure you that the government will pay for all repairs and damages.  ,1,3
SCULLY: I thought we were headed back into town. (Mulder shakes his head slightly) Where are we going?  ,1,3
SCULLY: The key to what?  ,1,3
SCULLY: Agent Atsumi said it was a statistical aberration.  ,1,3
"SCULLY: Ok, I admit it, it's not much of an explanation but it..  ",1,3
SCULLY: A conduit.  ,1,3
SCULLY: But how?  ,1,3
SCULLY: Mulder I know what you're thinking. I know why this is so important to you. (Mulder looks at Scully) I know. But there is no evidence indicating an abduction.  ,1,3
SCULLY: Just a stones throw from the forest wall.  ,1,3
SCULLY: Meaning anybody could've come out of the forest to grab her.  ,1,3
"SCULLY: Or an electrical storm. (Mulder is looking through some shells on the waterfront) Besides which, there's nothing to connect it to the night of Ruby's disappearance.  ",1,3
"SCULLY: Mulder, look.  ",1,3
"SCULLY: Mulder what are you doing? (Mulder continues to move the stones) Mulder, you are disturbing a crime scene. (Mulder is still moving the stones, Scully grabs Mulder's arm) Stop.  ",1,3
SCULLY: You ok Mulder?  ,1,3
SCULLY: Ruby's boyfriend.  ,1,3
"SCULLY: Look at that, it's her, the girl from the library.  ",1,3
SCULLY: We didn't get her name but she claimed Greg and Ruby had run off together.  ,1,3
"SCULLY: Have a seat Tessa. (Tessa sits down and the door is shut. The letters on the door read `INTERROGATION ROOM'. Inside the room on the table, sits a tape recorder which is recording. Scully sits down opposite Tessa) We know that you lied to us the other day. We know that you had the appointment with Doctor Fowler on August 7th. We know that you're the one that's pregnant, not Ruby.  ",1,3
"SCULLY: We can prove it Tessa, and we can prove that Greg, was the father.  ",1,3
"SCULLY: This is very serious. Do you understand how serious this is? (Tessa just looks away from Scully) Now you've waived the right to an attorney, so if you lie to us here today, you could be charged with perjury.  ",1,3
"SCULLY: You said that he and Ruby were seeing each other. You said that they were planning to meet at the lake, is that true?  ",1,3
SCULLY: Mulder you're not seeing the whole picture here.  ,1,3
"SCULLY: Which is that all likelihood, Ruby is dead.  ",1,3
SCULLY: They're searching the national park and a rescue dive team is coming in from Des Moines to drag the lake.  ,1,3
SCULLY: Do you really think Tessa Seers is telling the truth?  ,1,3
"SCULLY: She lied to us in the library, she lied to us about her pregnancy, what makes you think she wouldn't lie to us about killing Ruby?  ",1,3
"SCULLY: We have a suspect in custody, we have a confession to one murder, and we have a statement which speaks to the intent to commit another. It's over Mulder. It's time to go home and turn this over to local law enforcement.  ",1,3
SCULLY: Mulder where are you going?  ,1,3
SCULLY: Darlene won't even let you in the door.  ,1,3
"SCULLY: They don't wanna have anything to do with you...us. (Scully stops and call after Mulder) Mulder stop. Stop running after your sister. (Mulder stops, and then turns around to face Scully again) This won't bring her back.  ",1,3
"SCULLY: Kevin? (Mulder notices something on the floor and turns off the TV. On the floor are sheets of paper with binary sequences on them, they are placed in a square shape. Scully hears the kettle boiling and goes into the kitchen and takes it off the stove. She walks back into the living room and looks at the papers) Mulder. (Mulder is sitting down staring at the papers) What does it mean?  ",1,3
"SCULLY: I'm gonna check upstairs. (Scully goes upstairs and glances over the bannister, as she does she notices something about the papers) Oh my god.  ",1,3
"SCULLY: Just come up here. (Mulder goes up the stairs) Look, (Mulder looks at the papers and sees that the binary sequences make a face) it's her, it's Ruby.  ",1,3
"SCULLY: This is a longshot Mulder, they could be anywhere.  ",1,3
"SCULLY: Look, there's a trail ahead.  ",1,3
SCULLY: Go ahead.  ,1,3
SCULLY: MULDER!  ,1,3
SCULLY: She's unconcious but she's still alive.  ,1,3
SCULLY: Nurse says she been awake for almost an hour.  ,1,3
"SCULLY: Eerrr, there's no sign of head trauma, no narcotic traces or electralight abnormalities, but her white blood cell count was skyhigh.  ",1,3
"SCULLY: Errmmm, actually both, how did you know that?  ",1,3
SCULLY: Hi. (Mulder and Scully enter the room) Hi Ruby.  ,1,3
"SCULLY: Ooh, we're with the FBI, I'm Special Agent Dana Scully and this is Fox Mulder.  ",1,3
SCULLY: How are you feeling?  ,1,3
"SCULLY: You're right, we should wait until Ruby gets a little stronger.  ",1,3
SCULLY: Working hard Mulder?  ,1,4
"SCULLY: Anti-gravity's right. (Mulder throws the magazine onto the desk) Sorry to interrupt your serious investigation, but I just heard a story that'd just about take your knees out.  ",1,4
"SCULLY: They found a body in the New Jersey woods yesterday, missing it's right arm and shoulder. They think they may have been eaten off, by a human.  ",1,4
SCULLY: Just outside Atlantic City.  ,1,4
"SCULLY: Mmma, it was a homeless man. There doesn't seem to be a motive.  ",1,4
"SCULLY: Relative to whom? (Mulder is looking in a drawer in his office) It's not our case Mulder, the local police are handling it. (Mulder pulls out a file) An X-File?  ",1,4
"SCULLY: Yeah, it's a beast that's supposed to come out of the woods and attack cars, right. Kind of like an East Coast Bigfoot.  ",1,4
SCULLY: Save me the trouble.  ,1,4
SCULLY: Is the autopsy report in here?  ,1,4
"SCULLY: Mulder it's the same story I've heard since I was a kid. It's a folk tale, a myth.  ",1,4
SCULLY: Was he alive when it happened?  ,1,4
"SCULLY: Hi, I'm Special Agent Dana Scully and this is Agent Fox Mulder.  ",1,4
"SCULLY: Agent Mulder, we should go.  ",1,4
"SCULLY: He was perfectly in his rights. The FBI has no overriding jurisdiction in a murder case. Anyway, you'd feel the same way if someone was horning in on your work.  ",1,4
"SCULLY: You missed your opening Mulder, you could've really humiliated him and er, told him who the perpetrator was, The Jersey Devil. (Mulder laughs)  ",1,4
SCULLY: You're kidding right.  ,1,4
SCULLY: Mulder I have to be back in D.C.  ,1,4
"SCULLY: No, I have my godson's birthday party at 6:30. (Mulder throws the car keys across the top of the car, Scully catches them) What are you doing?  ",1,4
"SCULLY: Mulder, it's a three hour drive back by myself...(Mulder waves to Scully)...in Friday night traffic, ooowh.  ",1,4
"SCULLY: Oh c'mon, it's ok, it's alright, what happened, did you bump your head? Hhmmm.  ",1,4
SCULLY: Jungle warfare.  ,1,4
SCULLY: If the hit squad doesn't get to him before you do.  ,1,4
"SCULLY: Oooh, you're amazing.  ",1,4
"SCULLY: You're just such a natural at all this, I don't know how you keep it all together.  ",1,4
"SCULLY: Mmmm, I don't think I'm cut out for this El.  ",1,4
SCULLY: When am I supposed to find the time?  ,1,4
SCULLY: Ooooh.  ,1,4
SCULLY: Know of any?  ,1,4
SCULLY: Mulder?  ,1,4
"SCULLY: He's a jerk. He's not a jerk, he's erm, he's obsessed with his work.  ",1,4
SCULLY: Hi.  ,1,4
"SCULLY: Oh, come in.  ",1,4
SCULLY: Where are you?  ,1,4
SCULLY: You're still in Atlantic City?  ,1,4
SCULLY: What's that noise in the background?  ,1,4
"SCULLY: Mulder where are you? (We see Scully again, Mulder has just told her where he is) The drunk tank.  ",1,4
"SCULLY: Well, it's not hard to see why they mistook you for a vagrant.  ",1,4
SCULLY: Am I buying or did you manage to pan-handle some spare change while you were at it?  ,1,4
SCULLY: Mulder.  ,1,4
SCULLY: What's gonna happen when word of this gets back to the bureau?  ,1,4
SCULLY: I'm talking about this Jersey Devil thing.  ,1,4
"SCULLY: Hyeah, I'll say.  ",1,4
"SCULLY: Mulder, listen to yourself. You're already ascribing it a motive and an alibi. This thing, chewing somebody's arm off is not exactly a defensive posture.  ",1,4
"SCULLY: You saw something, I'll give you that but I'm not about to go in and sell it. Not when it's nothing more than a sighting in a dark alley.  ",1,4
"SCULLY: Yeah well, I have got to get back to Washington by 7:30, so er..  ",1,4
SCULLY: No. I have a date.  ,1,4
"SCULLY: Unlike you Mulder, I would like to have a life.  ",1,4
"SCULLY: C'mon, I have somebody I want you to meet, on the way home. C'mon.  ",1,4
"SCULLY: Yeah, humans are top carnivores, we sit at the top of the food chain and we, reduce other species' chance of survival.  ",1,4
SCULLY: I'm sure.  ,1,4
SCULLY: That's what they say.  ,1,4
SCULLY: Yeah.  ,1,4
SCULLY: I don't think it's a case we should discuss over dinner.  ,1,4
SCULLY: Eef-hhmmm. (Scully's beeper goes off) Sorry. (She opens her handbag and checks the message on the beeper. She closes her bag again and gets up from the table) Excuse me.  ,1,4
SCULLY: Mulder.  ,1,4
"SCULLY: That's ok, what's up?  ",1,4
SCULLY: I'm afraid we may have called you down here for nothing.  ,1,4
"SCULLY: Maybe, she spends her day shopping.  ",1,4
"SCULLY: Mulder, we've put men into space, we've built computers that work faster than the human mind.  ",1,4
"SCULLY: No I was just, thinking about my godson's birthday party, eight little six year old boys running around, talk about primitive behaviour.  ",1,4
SCULLY: Mulder? Mulder where are you?  ,1,4
SCULLY: Mulder?  ,1,4
"SCULLY: Lay back. Oh, Mulder you're hurt.  ",1,4
"SCULLY: Yeah well, she just about ripped your lungs out.  ",1,4
SCULLY: Yeah I need to talk somebody who can get me federal jurisdiction on this case. Mulder.  ,1,4
"SCULLY: The US assistant D.A.'s on the phone with the bureau right now, he wants to know what the hell is going on up here in Atlantic City.  ",1,4
SCULLY: The Atlantic City major crime unit has filed a complaint that we're endangering a murder investigation.  ,1,4
"SCULLY: Hi, this just came through, it's the posthumous medical exam on the woman's body. They found fragments of human bones still in her digestive tract, they estimated her age to be twenty-five to thirty years. Now they allowed Dr. Diamond to do a medical exam of the body but he found nothing that suggested prehistoric bone structure or physiology. Now the ACPD has her listed as a Jane Doe, and a search for her identity in state psychiatric records has begun, in earnest.  ",1,4
"SCULLY: They have also released the medical exam from the male body that they found, his age is estimated to be about forty years.  ",1,4
SCULLY: The medical exam of the women's uterus does seem to indicate that she may have given birth.  ,1,4
"SCULLY: Mulder will you do me a favour, will you just go out and have a beer, will you take the day off. I'll cover for you, will you just, take some time for yourself.  ",1,4
SCULLY: Hello?  ,1,4
SCULLY: Oh hi.  ,1,4
SCULLY: A guy.  ,1,4
SCULLY: Same guy.  ,1,4
SCULLY: I don't think so.  ,1,4
SCULLY: Not at this time.  ,1,4
SCULLY: I'm going with you to the Smithsonian.  ,1,4
SCULLY: Keep that up Mulder and I'll hurt you like that beast-woman.  ,1,4
SCULLY: Look who's holding the door.  ,1,4
SCULLY: Any sign of external legions or surface burns?  ,1,5
"SCULLY: Well, it can't be long. The body's still warm.  ",1,5
"SCULLY: If you've conducted your investigation, why consult us?  ",1,5
SCULLY: Who do you think they were?  ,1,5
SCULLY: How can the esophagus be crushed without the neck even being touched?  ,1,5
SCULLY: Psychokinesis? You mean how Carrie got even at the prom?  ,1,5
"SCULLY: Ok, I'm intrigued. How can we investigate, we have nothing to go on. (Mulder puts his arm around her shoulders and brings his eyeglasses up and exhales on them. There is a perfect fingerprint on each lens.  ",1,5
SCULLY: He has ties to extremist group operating in the US. The Isfahan. They take their name from a city in Iran. Recently they've been working out of Philadelphia.  ,1,5
SCULLY: I'll talk to the Philly P.D.  ,1,5
SCULLY: Who discovered their bodies?  ,1,5
SCULLY: We'll just have to interview everyone who was at the machine before 10 last night. (We see Lauren at the machine and being dragged off by the two attackers at 9:45.)  ,1,5
"SCULLY: (reading in her file) Lauren Kyte. 858 Franklin, Bensalem. Why would the Isfahan being robbing someone for 40 bucks at an ATM machine?  ",1,5
SCULLY: It's another person.  ,1,5
"SCULLY: Well, the resolution is too poor. It won't help much to enhance it.  ",1,5
SCULLY: Have you seen either of these two men before?  ,1,5
SCULLY: Take your time.  ,1,5
SCULLY: I'm afraid you have. (Scully shows her another picture) This is a surveillance picture from your ATM. (It's a picture of Lauren and the attackers. Their faces clear.)  ,1,5
SCULLY: Have you ever seen this person before? (It's the still frame from the surveillance video of the spectral image)  ,1,5
SCULLY: She knows who the other person in that photo is.  ,1,5
SCULLY: What the hell's going on?  ,1,5
"SCULLY: Yeah. (Mulder looks over at the other driver, shaking his head wondering what happened. Lauren is still looking out the window and she pulls the drapes when Mulder sees her.)  ",1,5
SCULLY: Yeah. I'm fine. Except I have a waiting-in-line-at-the-DMV-sized headache.  ,1,5
SCULLY: They check out the car?  ,1,5
SCULLY: Then someone tampered with it while we were in her house.  ,1,5
SCULLY: They are on.  ,1,5
SCULLY: She was in our presence the entire time we were at her house.  ,1,5
"SCULLY: If a person could generate that much energy, their body would break down. They'd start glowing like those lights.  ",1,5
SCULLY: Are you saying Lauren Kyte crashed our car?  ,1,5
"SCULLY: They're here... (imitation of the little girl from the movie, ""Poltergeist"")  ",1,5
"SCULLY: Oh, come on Mulder, look at the tangible evidence. Two Mid-East extremists are killed trying to assault a woman working for a manufacturer of parts for the Defense Department. While we questioned her our car is sabotaged. Now in both those cases, someone else may have committed those acts. Maybe the same someone we saw in those ATM photos. The mystery isn't psychokinetic energy, it's her accomplice. (They both notice the lights of the car are out.)  ",1,5
"SCULLY: Look at this one. (There is another maker next to Howard's that reads, \'93 Sarah Lynn Graves September 8, 1966 to August 3 1969"". There's a groundskeeper planting flowers nearby.)  ",1,5
SCULLY: She was only three years old.  ,1,5
"SCULLY (VOICE OVER): Further investigation into Lauren Kyte's personal history reveals an estrangement from her family. Phone records confirm no contact with her parents for the last two years. Her actions observed during surveillance (Go back to Mulder looking at photos taken during the surveillance as Scully continues speaking) indicate a strong relationship between Lauren Kyte and her employer, the late Howard Graves. (Back to Scully typing) Was this relationship somehow the motivation for his suicide? How are the attack and the subsequent murders of the Isfahan agents related, if at all? I am certain that the answers to these questions lie in finding the identity of Lauren Kyte's accomplice. (Back to Mulder looking at the negatives of the photos. One is of Lauren Kyte's house, the next of her front window. There's a figure standing in the window.)  ",1,5
SCULLY: He and Lauren Kyte are in on something. Maybe an illegal deal through his company. Something the CIA was interested in.  ,1,5
"SCULLY: Wait, you think I'm right?  ",1,5
"SCULLY: May we see the autopsy report, please? (Ellen tosses it across the desk)  ",1,5
SCULLY: Cause of death... arterial hemorrhage...  ,1,5
SCULLY: Well there seems to be some blood work missing here.  ,1,5
SCULLY: How did you know?  ,1,5
SCULLY: Lauren Kyte.  ,1,5
"SCULLY: Yes, there is. His body's tissues and organs were donated.  ",1,5
"SCULLY: The tests are conclusive, the dura matter does belong to Howard Graves. He is indeed, very dead. (Mulder gets up and walks away)  ",1,5
SCULLY: What case? You're the ones who've been withholding information. (They all fall silent.)  ,1,5
SCULLY: But you believe it.  ,1,5
"SCULLY: That's not enough. You've been given the chance to tell him again. Take it. Tell him you love him, by showing him, by... helping us finish his unfinished business. Lauren, how will you ever be able to rest if he never can? (Lauren nods.)  ",1,5
"SCULLY: Mulder, there's no such thing as ghosts or psychokinesis. I'm sure there's an explanation. But I believe that she believes. And my priority is to get her to help us stop Dorland.  ",1,5
SCULLY: I'm giving us a chance to solve a case that's tangible instead of chasing after shadows. (Scully leaves leaving Mulder to ponder.)  ,1,5
