mulder_lines,season,episode
"MULDER: Alright, I wanna show you something. (Mulder reaches into the back seat of the car and lifts a folder, he opens it and takes out a photo, which he gives to Scully) This is a photo, of a UFO that reportedly crashed in Roswell, New Mexico in 1947. Now I know, you don't believe that story but just hear me out. Now, Ellens Air Base, the same base that we're at right now, the same base, that for some strange reason, doesn't appear on your US government map, is supposedly, one of the six sites where parts from the wreckage were shipped.  ",1,1
"MULDER: No, planes built, using UFO technology.  ",1,1
"MULDER: Tell me, there isn't a remarkable resemblance.  ",1,1
MULDER: You saw exactly what I saw in the sky tonight. What do you think they were?  ,1,1
"MULDER: Unidentified Flying Objects, I think that fits the description pretty well. Tell me I'm crazy.  ",1,1
"MULDER: You didn't come to raid my mini-bar, did ye?  ",1,1
MULDER: What?  ,1,1
"MULDER: Mrs. Budahas, are you ok?  ",1,1
MULDER: What? What's wrong?  ,1,1
"MULDER: It's ok, it's ok, just relax, wel, I'm Special Agent Mulder, from the FBI. We're out here investigating your disappearance Colonel Budahas. Wondering if you have any explanation of your whereabouts over the past four months.  ",1,1
"MULDER: Here, on base?  ",1,1
"MULDER: Colonel Budahas, do you mind if I ask you your birthdate?  ",1,1
MULDER: And the names of your kids?  ,1,1
MULDER: Green Bay fan.  ,1,1
"MULDER: Bet you remember the Superbowl of 68, huh? Don Shandler.  ",1,1
"MULDER: Colonel, Colonel Budahas, you're a, a pilot, isn't that right?  ",1,1
"MULDER: Bet you've flown just about everything with two wings. I got this hotshot pilot friend, who said that he could do Immelmann at a sustained eight g's, huh, is that possible?  ",1,1
MULDER: I think they re-wired that man's brain. Some kind of selective memory drain.  ,1,1
MULDER: Then you explain it to me.  ,1,1
"MULDER: This is not amnesia, I think it's something far more deliberate and insidious.  ",1,1
"MULDER: And neither does the technology to fly the aircraft we saw last night. Listen to me Scully, they can do this. That man, he should have known the answer to the question, it just wasn't in his head anymore.  ",1,1
"MULDER: To control information. I think that after his psychotic episode, Colonel Budahas became a security risk.  ",1,1
"MULDER: No, I think that men like Colonel Budahas are physiologically incapable of dealing with the stress of flying the aircraft we saw. Or doing those manoeuvres, at those speeds. I mean we're talking about a technology that is so sensitive and advanced, that it's taken almost fifty years to make it work. UFO technology, Scully.  ",1,1
MULDER: Hold on.  ,1,1
"MULDER: You think if maybe we ignore him, he'll go away?  ",1,1
"MULDER: Guess not. (Mulder gets out of the car) Special Agent Mulder, FBI.  ",1,1
MULDER: You wanna tell me what this is about.  ,1,1
"MULDER: I don't think it was those kids they were chasing away from the base last night, I think it was us. They knew we were coming before we ever arrived. And they returned Colonel Budahas as a decoy. There's something I didn't tell you, Scully.  ",1,1
"MULDER: I was approached by a man in D.C. who warned me to stay away from this case, he didn't give me his name, and my phone was being tapped.  ",1,1
"MULDER: Why would they go to all this trouble? Out of a need for security. Security of what? I think there's a huge conspiracy here Scully. They've got a UFO here, I'm sure of it. And they'll do anything to keep it a secret, including sacrificing lives and minds of those pilots, because what if that secret got out.  ",1,1
"MULDER: No no, you're not thinking big enough, if it were true, it would be confirmation of the existence of extra terrestrial life.  ",1,1
"MULDER: Yes, but at what cost, when does the human cost become too high for the building of a better machine?  ",1,1
"MULDER: Aren't you even curious? (Scully takes the photo from Mulder and sits down) Aaerm, I gonna shower, I'll pack and then, we'll get outta here.  ",1,1
"MULDER: Hey, aren't you guys coming?  ",1,1
"MULDER: Ok, this spot you told me about where you watch the air show, how far is it?  ",1,1
MULDER: Will I be able to find it?  ,1,1
"MULDER: And what about this other place you told me about, Yellow Base, where they hangar them.  ",1,1
MULDER: Nooo.  ,1,1
MULDER: I think so. Scully I...  ,1,1
MULDER: How did I get here?  ,1,1
MULDER: Hi.  ,1,1
MULDER: We came by to see how your husband was doing.  ,1,1
"MULDER: Do you think, maybe, we could see him.  ",1,1
"MULDER: They got to her Scully. They were here, they must have threatened her and Budahas..  ",1,1
MULDER: Why?  ,1,1
MULDER: I saw something I...  ,1,1
MULDER: What is your interest?  ,1,1
"MULDER: I did see something, but it's gone, they took it from me, they erased it. You have to tell me what it was.  ",1,1
"MULDER: Because, all the evidence to the contrary, is not entirely dissuasive.  ",1,1
"MULDER: They're here, aren't they?  ",1,1
MULDER: So why didn't they ask me?  ,1,2
MULDER: Why would I make them so uncomfortable?  ,1,2
MULDER: Reputation? I have a reputation?  ,1,2
MULDER: Spooky? Do you think I'm spooky?  ,1,2
MULDER: Grey.  ,1,2
"MULDER: Grey. You said green men, a Reticulan skin tone is actually grey, they're notorious for their extraction of terrestrial human livers. Due to iron depletion in the Reticulan galaxy.  ",1,2
MULDER: Do you have any idea what liver and onions go for on Reticula? `scuse me.  ,1,2
"MULDER: This is the print I took yesterday from Usher's office, these others are from an X-file. Ten murders, Baltimore area, undetermined points of entry, each victim had their liver removed. These prints were discovered at five of the ten crime scenes.  ",1,2
"MULDER: Most likely, he's not aware of them. These two prints were lifted five years before he was born at Powhatan Mill. And these three were lifted probably, five years before his mother was even born.  ",1,2
"MULDER: And fingerprinting was just coming into it's own in 1903, but there was a murder involving an extracted liver.  ",1,2
MULDER: Now that's five murders every thirty years. That makes two more to go this year.  ,1,2
"MULDER: What did we learn in our first day at the academy, Scully? Each fingerprint is unique, these are a perfect match.  ",1,2
"MULDER: No, of course not, I find no evidence of alien involvement.  ",1,2
MULDER: And he should stick out in a crowd with ten inch fingers.  ,1,2
"MULDER: Our X-file dates back to 1903, we had it first.  ",1,2
"MULDER: You're down here too. Look, why don't we agree to this, they'll have their investigation, we'll have ours and never the twain shall meet. Agreed?  ",1,2
"MULDER: You wouldn't shoot an unarmed man, would ya copper?  ",1,2
"MULDER: He's not coming back here, his thrill is derived from the challenge of unseemingly impossible entry. He's already beaten this place, if you'd read the X-file on the case, you'd come to the same conclusion.  ",1,2
MULDER: Seeds?  ,1,2
MULDER: In there.  ,1,2
MULDER: You were right.  ,1,2
MULDER: I had her ask it.  ,1,2
"MULDER: Scully's right, it is the guy.  ",1,2
"MULDER: He lied on questions eleven and thirteen, his electrodermal and cardiographic response nearly go off the chart.  ",1,2
"MULDER: Two murders with matching mo's occurred in Powhatan Mill in 1933, just look at the chart.  ",1,2
MULDER: He's the guy.  ,1,2
"MULDER: Maybe I thought you caught the right guy. And maybe I run into so many people, who are hostile, just because they can't open their minds to the possibilties, that sometimes the need to mess with their heads, outweighs the millstone of humiliation.  ",1,2
"MULDER: Of course I was, in our investigations, you may not always agree with me but at least you respect the journey. And if you wanna continue working with them, I won't hold it against ye.  ",1,2
MULDER: These are Eugene Tooms' prints.  ,1,2
"MULDER: Only thing I know for certain is, they let him go.  ",1,2
"MULDER: What's the matter Colton, you worried I'm gonna solve your case?  ",1,2
MULDER: It's Tooms.  ,1,2
"MULDER: I found him. How do we learn about the present, we look to the past. I think this is where it all began in 1903 on Exeter Street.  ",1,2
"MULDER: Maybe, his neighbour played the victrola too loud.  ",1,2
MULDER: What about the prints?  ,1,2
"MULDER: So what is this, the Anti-Waltons.  ",1,2
"MULDER: I think what we have to do is track Eugene Tooms, there's four down and one to go this year. If we don't get him right now, the next chance is in year.....  ",1,2
"MULDER: And you're gonna be head of the bureau by then. So I think you have to go through the census, I'm gonna plough through this century's marriage, birth, death certificates, and... You have any dramamine on you by any chance cos, these things make me seasick.  ",1,2
"MULDER: Never was born, never married, never died.  ",1,2
"MULDER: Feel what, Frank?  ",1,2
"MULDER: Have you ever heard the name, Eugene Victor Tooms?  ",1,2
MULDER: 66 Exeter Street?  ,1,2
"MULDER: The old man was right, you can feel it.  ",1,2
MULDER: Check this out.  ,1,2
MULDER: Somebody having a garage sale.  ,1,2
MULDER: Does he live in here?  ,1,2
"MULDER: No, somebody made it.  ",1,2
MULDER: Is there any way I can get it off my fingers quickly without betraying my cool exterior?  ,1,2
"MULDER: I don't think it's where he lives, I think it's where he hibernates.  ",1,2
"MULDER: Just listen, what if some genetic mutation could allow a man to awaken every thirty years.  ",1,2
"MULDER: And what if the five livers could provide him sustenance for that period. What if Tooms is some kind of, twentieth century, genetic mutant.  ",1,2
MULDER: Well we're gonna need a surveillance team.  ,1,2
"MULDER: Well you go down town and see what you can fannagle, I'll keep watch.  ",1,2
MULDER: It's about time.  ,1,2
"MULDER: Eugene Tooms, he's unarmed but consider him dangerous. Scully and I'll be back to relieve you in eight hours if he doesn't show, right here.  ",1,2
MULDER: Where is everyone? Scully?  ,1,2
MULDER: Dammit.  ,1,2
"MULDER: Dammit, ANSWER.  ",1,2
MULDER: SCULLY!  ,1,2
"MULDER: Look at him, he's building another nest.  ",1,2
"MULDER: All these people putting bars on their windows, spending good money on hi-tech security systems, trying to feel safe. I look at this guy and I think, ""It ain't enough"".  ",1,2
"MULDER: Ok Scully, so we disagree, it's not the first time and it won't be the last.  ",1,3
"MULDER: This is the essence of science, you ask an impertinent question and you're on your way to a pertinent answer.  ",1,3
"MULDER: Because, the lizard baby, wasn't born anywhere near Lake Okobogee.  ",1,3
MULDER: Bogee. (Mulders get up and talks right into Scully's face) Okobogee.  ,1,3
"MULDER: If you know anything about trout fishing, or UFO hotspots.  ",1,3
"MULDER: Four sightings in 1967, August, including one by a national weather service plane. (Mulder clicks to a bigger picture of the UFO) This is a light blasted, digitally enhanced enlargement.  ",1,3
"MULDER: Try a girl scout with an instamatic. Four of the nine girls in the troupe claim to have seen something, five if you include the den mother. The Air Force said it was a weather balloon caught in a wind sheer. But there wasn't a weather balloon launched that day within seven hundred miles. (Mulder turns off the slide projector and gets a file which he gives to Scully) Now read me the names of those girl scouts from 1967.  ",1,3
MULDER: It's the same Darlene Morris.  ,1,3
"MULDER: Summer of 1967, the girl scout troupe?  ",1,3
"MULDER: Your name's on record at the center for UFO studies in Evanston, Illinois.  ",1,3
"MULDER: Yea, pilot for the national weather service made a similar sighting over the same area on the same day.  ",1,3
"MULDER: You, you said that erm, Kevin was there, the night it happened.  ",1,3
MULDER: Do you think I might talk to him anyway? (Darlene nods her head) Thanks.  ,1,3
MULDER: Hey buddy! Mind if I sit down? (Kevin shrugs his shoulders) Thanks. (Mulder sits on the end of a coffee table) Your mom tells me you've been having nightmares.  ,1,3
MULDER: Wanna tell me about `em?  ,1,3
MULDER: Alright. (Mulder notices Kevin is writing on a pad) Whatta you doing? (Kevin turns round to look at Mulder and then turns back to his pad and continues writing) Are you making something? (Kevin nods his head) Can I take a look at it? (Kevin lifts his pad and passes it to Mulder) Thanks.  ,1,3
MULDER: The TV?  ,1,3
"MULDER: I don't know what it is, maybe a binary sequence of some kind. Could be anything, could be nothing. I know you're busy, look erm, I know a friend who knows a friend who knows a friend who-oo can get you tickets to a Redskins game. You got it. Alright, you know where to find me? Thanks Danny.  ",1,3
MULDER: You assume she ran away.  ,1,3
"MULDER: Well, how do you explain what her mother saw?  ",1,3
MULDER: So basically you ignored her statement.  ,1,3
MULDER: But you didn't bother to check it out.  ,1,3
MULDER: Before what?  ,1,3
MULDER: Who me? I'm Mr. Congeniality.  ,1,3
MULDER: I'll send him a bunt cake.  ,1,3
MULDER: Like the night she disappeared?  ,1,3
MULDER: Who's Greg?  ,1,3
MULDER: What kind of stuff?  ,1,3
MULDER: `scuse me. Do you know where we could find Greg Randall?  ,1,3
"MULDER: Actually, we were hoping you could tell us.  ",1,3
MULDER: Any ideas where he might have gone?  ,1,3
"MULDER: Hey, that's a nice tattoo, what is that?  ",1,3
MULDER: Flying saucer. You don't really believe in that stuff do ya?  ,1,3
"MULDER: No, I think it's all just a bunch of crazy people howling at the moon.  ",1,3
"MULDER: No I haven't, why?  ",1,3
"MULDER: Well, if you explain to me what you're talking about, maybe I can help you out. (The fourth man hands a sheet of paper to Mulder) This is a document? Just looks like a bunch of ones and zeroes to me.  ",1,3
MULDER: Tell me what it is.  ,1,3
"MULDER: It's your call Holtzman. So unless they tell me otherwise, I'm not accountable to anybody outside my sub-committee. I don't care if it's the NSA or the Vatican Police.  ",1,3
MULDER: You're kidding.  ,1,3
"MULDER: Well sure, I'll let you know as soon as I find out.  ",1,3
MULDER: Great.  ,1,3
MULDER: You shouldn't have told them. They have no jurisdiction.  ,1,3
"MULDER: C'mon, how could an eight year old boy, who can bearly multiply, be a threat to national security? People call me paranoid.  ",1,3
MULDER: You guys do really delicate work.  ,1,3
MULDER: I'm not sure.  ,1,3
"MULDER: Almost like someone's switching channels, huh.  ",1,3
MULDER: Mrs. Morris.  ,1,3
"MULDER: Mrs. Morris, please give me a minute to explain.  ",1,3
"MULDER: But your son, has seen something.  ",1,3
"MULDER: The boy's the key Scully, I know it.  ",1,3
"MULDER: Finding Ruby. Just think about it for a minute, this is a boy who is receiving all kinds of digitised data from a television screen.  ",1,3
MULDER: No.  ,1,3
"MULDER: I think that Kevin is a conduit, of some kind.  ",1,3
"MULDER: A link, or a connection, to whoever, or whatever, took Ruby that night.  ",1,3
"MULDER: If there was an abduction, it's likely that Kevin was touched in some way.  ",1,3
MULDER: That's why we're going to Lake Okobogee.  ,1,3
"MULDER: According to the police photos, Ruby and Kevin were sleeping right here.  ",1,3
MULDER: Meaning what?  ,1,3
"MULDER: Have you noticed the tree line? (Mulder points up to the trees, the leaves and burnt away from the tops and only the thin trunk remains) Evidence of extreme heat.  ",1,3
"MULDER: That's true. (Mulder is cleaning the sand of the glass) Do you think a lightning strike could've caused this? (Mulder walks towards Scully with the piece of glass) Do you have any idea at what temperature sand solidifies into glass? (He gives it to Scully, who rubs the hardened sand on it) Twenty-five hundred degrees fahrenheit. Something was out here Scully, something hot enough to turn sand into glass, that, singed those trees and to blister the roof of that camper.  ",1,3
"MULDER: It's a grave. Shallow, by the smell of it.  ",1,3
MULDER: What if it's her? I need to know.  ,1,3
MULDER: Fine.  ,1,3
"MULDER: Before you put that away, can I take a look at it?  ",1,3
"MULDER: Sure you were Tessa. (Mulder walks towards Tessa) You knew they were meeting, so you sat there and you waited for them. You were angry and you were jealous.  ",1,3
"MULDER: You sat there and you waited and when they showed, you killed him first, isn't that how it went?  ",1,3
"MULDER: You snuck up from behind him and you shot him in the back, (Mulder hits the desk with his hand) BAAMMM. (Mulder walks around the desk and stands beside Tessa) And then you killed Ruby, (Mulder hits the desk again) BAAMMM. (Mulder walks to the other side of Tessa) What was she doing right before she died Tessa? Was she pleading for her life? Was she running away?  ",1,3
MULDER: Where's she buried Tessa?  ,1,3
MULDER: You don't know where you buried her Tessa.  ,1,3
MULDER: You didn't?  ,1,3
"MULDER: Well how would you know that Tessa, if you weren't there yourself.  ",1,3
MULDER: Which is?  ,1,3
MULDER: Is that your conclusion or the conclusion of the Sioux City Sheriff's Department?  ,1,3
MULDER: They're wasting their time.  ,1,3
"MULDER: Why not, what if Ruby never did show up that night?  ",1,3
MULDER: Because something was out there in those woods.  ,1,3
MULDER: I can't do that.  ,1,3
MULDER: To talk to the boy.  ,1,3
"MULDER: Well, I've gotta see him.  ",1,3
"MULDER: Come with me or don't come with me but until they find a body, I'm not giving up on that girl.  ",1,3
"MULDER: Hello? (Mulder notices the door is unlocked, enters the house. Scully is right behind him) Mrs. Morris?  ",1,3
MULDER: I don't know.  ,1,3
MULDER: What is it?  ,1,3
"MULDER: You know when I was a kid, I had this ritual. I closed my eyes before I walked into my room, cause I thought that one day when I opened them my sister would be there. Just lying in bed, like nothing ever happened. You know I'm still walking into that room, everyday of my life. (Mulder notices something up ahead) Scully. (Scully looks to see what it is, it's Darlene's camper van. They pull up behind it and get out of the car. They run to the van) DARLENE!  ",1,3
MULDER: Are you ok?  ,1,3
MULDER: Where's Kevin?  ,1,3
MULDER: KEVIN!  ,1,3
"MULDER: Kevin I'm sorry but, I don't...  ",1,3
"MULDER: Kevin I don't think she is. I know how much you want it to be her, I did too.  ",1,3
MULDER: SCULLY!  ,1,3
MULDER: I'll get help.  ,1,3
MULDER: Any ideas what caused the coma?  ,1,3
MULDER: By any chance was there attendant reduction in the lymphocyte population or a release of gluco-cordacoids?  ,1,3
MULDER: They're symptoms of prolonged weightlessness. Shuttle astronauts have reported similar imbalances.  ,1,3
MULDER: Where were you Ruby? Can you tell us?  ,1,3
"MULDER: Who told you? (Ruby is afraid to say anything) Ruby, who told you?  ",1,3
"MULDER: I know how dis-oriented she must seem right now, but in a couple of weeks, maybe even a few days, we could..  ",1,3
"MULDER: She should be encouraged to tell her story, not to keep it inside, it's important that you let her.  ",1,3
"MULDER: But she will remember one day, one way or another, even if it's only in dreams. And when she does, she's gonna wanna talk about it, she's gonna need to talk about it.  ",1,3
MULDER: But it was the truth Darlene.  ,1,3
MULDER: It doesn't have to be that way for Ruby.  ,1,3
MULDER: Is that what you're gonna tell Kevin?  ,1,3
"MULDER: Yeah, they're open but it's like, nothing's happening.  ",1,3
MULDER: I can't.  ,1,3
"MULDER: I don't know. I can't move, so I don't...(We see a close-up of the tape being played, on it it says: F. Mulder hypnotic regression tape session number 2B: June 16) I just lie there in bed.  ",1,3
"MULDER: No, but I can hear her.  ",1,3
"MULDER: She's calling out my name, over and over again. (We see the picture is one of Mulder and his sister when they were kids. We see it is Mulder who is now holding the picture) She's crying out for help but I can't help her. I can't move. (We see that Mulder is sitting inside a church)  ",1,3
MULDER: I know I should be but I'm not.  ,1,3
MULDER: Because of the voice.  ,1,3
MULDER: The voice in my head.  ,1,3
"MULDER: Not to be afraid. It's telling me no harm will come to her, and that one day she'll return.  ",1,3
MULDER: I want to believe.  ,1,3
MULDER: This woman claims to have been taken aboard a spaceship and held in an anti-gravity chamber without food and water for three days.  ,1,4
MULDER: What's that?  ,1,4
MULDER: Where in New Jersey?  ,1,4
MULDER: Not an uncommon place to lose a body part. They think it's the mob?  ,1,4
MULDER: You feeling lucky Scully?  ,1,4
MULDER: Ever hear of something called The Jersey Devil?  ,1,4
MULDER: Read the file about the case in 1947.  ,1,4
"MULDER: 1947, family watches dad get dragged off into the woods, cops find dad with a few appendages gnawed off. Cops corner a large naked man in the woods and gun `im down. (They stop at a desk) Autopsy shows human flesh and bones in the man's large intestine. A beast man. (Mulder talks to someone behind the desk) Requisition for a car please.  ",1,4
"MULDER: No, the original disappeared from the Patterson PD's files a few years after the incident. But there is a statement from the attending pathologist.  ",1,4
"MULDER: I heard the same story when I was a kid too, funny thing is, I believed it. (Mulder hands back the form to the person behind the desk and is given a set of keys) Thanks Doreen. (Mulder turns to face Scully) Fact is, we got a cannibalised body in New Jersey, someone or something out there is hungry.  ",1,4
MULDER: Who found the body?  ,1,4
MULDER: Any ideas about that?  ,1,4
"MULDER: Well we're not here on an official capacity, Agent Scully's a medical doctor, we heard about your victim and, she thought she might take a look.  ",1,4
MULDER: Any suspects yet Detective?  ,1,4
MULDER: There's no need to get bent outta shape.  ,1,4
MULDER: So what's eating that guy?  ,1,4
"MULDER: Yeah, chances are he's without a clue. He'll probably be scratching his head when they bring the next body in.  ",1,4
"MULDER: Hey whatta you say, we grab a hotel, take in a floor show, drop a few quarters in the slot, do a little digging on this case.  ",1,4
"MULDER: Ok, we can skip the floor show.  ",1,4
MULDER: What you gotta date?  ,1,4
"MULDER: A little poking around, maybe make a weekend out of it.  ",1,4
"MULDER: Victim was a homeless man, you get many of them wandering around out here?  ",1,4
MULDER: Scared? Of what?  ,1,4
MULDER: People say that's just a myth.  ,1,4
MULDER: What do you think?  ,1,4
MULDER: Really. You never saw him again?  ,1,4
MULDER: You think it might be what's responsible for the body you found?  ,1,4
MULDER: Yeah.  ,1,4
MULDER: How far is it into town from here?  ,1,4
"MULDER: I'm staying at the Galaxy Gateway for the next couple of days, if you think of anything, will you call me?  ",1,4
"MULDER: Did anybody here know Roger Crockett? (No one acknowledges Mulder's request) He was murdered two days ago. (Mulder tries to talk to a woman as she goes passed but she just ignores him) Ma'am, can I..  ",1,4
MULDER: Roger Crockett? Anybody?  ,1,4
MULDER: Did you know Roger Crockett? (The man nods his head) Did you hear how he died?  ,1,4
MULDER: Any ideas who might've done it?  ,1,4
"MULDER: No, I'm FBI.  ",1,4
MULDER: Ok.  ,1,4
MULDER: What is this?  ,1,4
MULDER: Does it mean anything to you?  ,1,4
MULDER: Where?  ,1,4
MULDER: Here? Are you hustling me?  ,1,4
MULDER: Who do you think it is?  ,1,4
MULDER: Has anybody else seen it?  ,1,4
MULDER: Anybody told the cops?  ,1,4
MULDER: Where're you sleeping tonight?  ,1,4
"MULDER: You know the er, The Galaxy Gateway? (Mulder gives Jack his room key) Room 756. Go ahead.  ",1,4
"MULDER: Yeah, they do.  ",1,4
MULDER: You got a man up on that roof.  ,1,4
MULDER: Hey back off.  ,1,4
"MULDER: I'm telling you, there's a man up on that roof.  ",1,4
MULDER: Enjoying the night life here in beautiful Atlantic City.  ,1,4
"MULDER: That's good, let's go see her together, and while we're at it, why don't we add withholding evidence to the list.  ",1,4
MULDER: Statements given to you describing something stalking the back streets of Atlantic City.  ,1,4
MULDER: Why else would you be sweeping the streets tonight? You know it's out there.  ,1,4
"MULDER: Oh is that your job, or is it to keep the dice rolling, keep the tour buses rolling in. You can't fill those casinos, this town disappears like a quarter down the slot. (There is a brief pause of silence) I've seen it.  ",1,4
"MULDER: Who's going to be responsible when you lose your first tourist, Detective? You are.  ",1,4
MULDER: I'm not far from where you left me.  ,1,4
"MULDER: Er Scully, you got anything happening this morning?  ",1,4
MULDER: That's a guy getting sick.  ,1,4
MULDER: You gonna rag on me or you gonna take me to get something to eat?  ,1,4
"MULDER: It moved like a cat, quick and graceful. There's no way a human could've got up on the roof that fast.  ",1,4
MULDER: What?  ,1,4
"MULDER: They dropped the charges, that guy Thompson, he ran me through the system just to spite me.  ",1,4
"MULDER: I saw it, it's exactly the way the ranger described it, the way it moved, the way it sniffed the air. It's come out of the woods, probably in search of food.  ",1,4
"MULDER: It was peeking through the garbage Scully, if it was a man-eater, why didn't it come after me? Probably felt threatened in some way..  ",1,4
"MULDER: But you do believe that I saw something, don't ye?  ",1,4
MULDER: I still got a hotel room I'm paying for.  ,1,4
MULDER: Another birthday party?  ,1,4
MULDER: Can you cancel?  ,1,4
MULDER: I have a life!  ,1,4
MULDER: Why is that?  ,1,4
MULDER: What's this chart?  ,1,4
MULDER: Why?  ,1,4
MULDER: So we kill other species in order to survive.  ,1,4
MULDER: But what if something entered the food chain above us?  ,1,4
"MULDER: But, but what if through some fluke of nature, a human was born, who reverted to it's most animal instincts, a kind of carnivorous neanderthal. Wouldn't he occupy a space above us on the food chain?  ",1,4
"MULDER: Right, yeah, an.and, and haven't there been cases were, men have been raised in the wilderness by animals who have no language and hunt like predators?  ",1,4
MULDER: But even when faced with extinction?  ,1,4
"MULDER: Yea, highly unlikely, but not outside the realm of extreme possibility?  ",1,4
MULDER: Mulder.  ,1,4
"MULDER: Oh yeah, hi.  ",1,4
MULDER: Where's the body now?  ,1,4
MULDER: You're sure it was a male?  ,1,4
MULDER: Scully.  ,1,4
MULDER: Sorry to interrupt your evening.  ,1,4
"MULDER: I just had an amazing thought, maybe it isn't a beast-man we're looking for after all.  ",1,4
MULDER: They're going to try and sweep this whole thing under the carpet.  ,1,4
"MULDER: Any publicity and you're got the streets crawling with the kind of people who aren't here to play the crap tables. Word gets out there's something still on the loose, forget it.  ",1,4
"MULDER: The body they found was a male, there's a fifty-fifty chance there was a mate. We may never know unless we find out ourselves.  ",1,4
MULDER: This thing has no fear of heights. We'll stay together and start with the lower floors. How much time will that dart give us?  ,1,4
MULDER: What if it is a female Scully? How close is she to you or me? Does she feel emotion? Or are her days just spent looking for food?  ,1,4
"MULDER: Eight million years out of Africa, I don't think we're all that different.  ",1,4
